timestamp,packet_seq,packet_type,packet_size,send_time,ack_time,rtt_ms,instant_throughput_mbps,
2024-12-02-15:53:34,50,DATA,10240,2024-12-02-15:53:34,2024-12-02-15:53:35,224.29,0.365241,
2024-12-02-15:53:35,51,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,178.0633,0.460061,
2024-12-02-15:53:35,52,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,388.6757,0.210767,
2024-12-02-15:53:35,53,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,669.3093,0.122395,
2024-12-02-15:53:35,54,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,638.424,0.128316,
2024-12-02-15:53:35,55,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,658.3939,0.124424,
2024-12-02-15:53:35,56,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,646.5882,0.126696,
2024-12-02-15:53:35,57,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,492.2346,0.166425,
2024-12-02-15:53:35,58,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:35,106.7002,0.767759,
2024-12-02-15:53:35,59,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,237.6996,0.344637,
2024-12-02-15:53:35,60,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,241.3146,0.339474,
2024-12-02-15:53:35,61,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,242.2504,0.338162,
2024-12-02-15:53:35,62,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,256.6246,0.319221,
2024-12-02-15:53:35,63,DATA,10240,2024-12-02-15:53:35,2024-12-02-15:53:36,234.6458,0.349122,
2024-12-02-15:53:36,64,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,119.5616,0.68517,
2024-12-02-15:53:36,65,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,303.084,0.270288,
2024-12-02-15:53:36,66,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,304.7788,0.268785,
2024-12-02-15:53:36,67,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,324.0895,0.25277,
2024-12-02-15:53:36,68,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,314.6739,0.260333,
2024-12-02-15:53:36,69,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,336.6602,0.243331,
2024-12-02-15:53:36,70,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,144.1306,0.568373,
2024-12-02-15:53:36,71,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,332.71,0.24622,
2024-12-02-15:53:36,72,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,331.7111,0.246962,
2024-12-02-15:53:36,73,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,333.3763,0.245728,
2024-12-02-15:53:36,74,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,315.8024,0.259403,
2024-12-02-15:53:36,75,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:36,299.4697,0.27355,
2024-12-02-15:53:36,76,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:37,228.8582,0.357951,
2024-12-02-15:53:36,77,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:37,266.1575,0.307788,
2024-12-02-15:53:36,78,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:37,268.7408,0.304829,
2024-12-02-15:53:36,79,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:37,329.7625,0.248421,
2024-12-02-15:53:36,80,DATA,10240,2024-12-02-15:53:36,2024-12-02-15:53:37,614.9196,0.133221,
2024-12-02-15:53:37,81,DATA,10240,2024-12-02-15:53:37,2024-12-02-15:53:37,808.2559,0.101354,
2024-12-02-15:53:37,82,DATA,10240,2024-12-02-15:53:37,2024-12-02-15:53:37,711.7626,0.115095,
2024-12-02-15:53:37,83,DATA,10240,2024-12-02-15:53:37,2024-12-02-15:53:37,730.1308,0.112199,
2024-12-02-15:53:37,84,DATA,10240,2024-12-02-15:53:37,2024-12-02-15:53:37,655.8655,0.124904,
2024-12-02-15:53:37,85,DATA,10240,2024-12-02-15:53:37,2024-12-02-15:53:38,677.2199,0.120965,
2024-12-02-15:53:37,86,DATA,10240,2024-12-02-15:53:37,2024-12-02-15:53:38,121.4209,0.674678,
2024-12-02-15:53:37,87,DATA,10240,2024-12-02-15:53:37,2024-12-02-15:53:38,292.747,0.279832,
2024-12-02-15:53:37,88,DATA,10240,2024-12-02-15:53:37,2024-12-02-15:53:38,294.4658,0.278199,
2024-12-02-15:53:37,89,DATA,10240,2024-12-02-15:53:37,2024-12-02-15:53:38,297.9877,0.274911,
2024-12-02-15:53:38,90,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,284.5949,0.287848,
